movie_id,summary
4892,"huge project, romantic slices, plots, love, heroic scenes, battles and story of a queen as reflection of sacrifice spirit and love for country. a testimony of charming potential of South Asian cinema to give a different product by Bollywood. portrait of Thai XVI century, it is a beautiful jewelery, really impressive for each its part. This is a very appealing film for dreamy people easily stirred by beautifully exotic costumes, some compellingly exotic actresses and a few scenes of relentless brutality. This is a beautiful epic film set in historical Thailand during a turbulent period about 1526AD into the 1530's."
3213,"The family is brought back together when the Hair Dressing Championships come to their home town, and Phil, Shelley, Sandra and Brian pool their resources to beat their rivals. Heidi Klum also makes a special appearance, and sports some outrageous hairdos and costumes. Alan Rickman is good, sincere and has depth, Josh Hartnett has an okay delivery ruined by his trying - too - hard faux Yorkshire accent, and Bill Nighy is Bill Nighy, you'll always get a few laughs from him, but the real stars are Rachel Griffiths and Natasha Richardson. Young stars Josh Hartnett and the very adorable Rachael Leigh Cook are pleasant contributions to the film, with their brother - sister chemistry and secret adoration for one another. Bill Nighy is fantastic as the unscrupulous London artiste pulling out all the stops to win the Championship for an unprecedented third time, using his daughter, the insanely beautiful Rachel Leigh Cook, as his model."
4887,"The functional head of Anjo's gang while he's absent is an off - the - wall sadomasochist named Kakihara (Tadanobu Asano). Jijii is manipulating / grooming a bizarre killer named Ichi (Nao Omori), who is gradually taking out Anjo and Fujiwara gang members for him. But by the final "" act "", there are some very interesting revelations about characters and their relationships to one another. Miike goes so far that he criticizes women in Japan for their often seen submissive behavior by introducing a more independent persona with the character of Karen, a notably western influenced person, her need to cause pain nearly borders Kakihara's. The acting is surprisingly good - Nao Omori and Tadanobu Asano are impressive as Ichi and Kakihara."
3994,"Yet the best lines are good, such as when the emperor, disguised as a seaman, boards a ship and says, "" A position above decks would have been more appropriate. He has filled France with widows and orphans! "" There are truths there to make a revolution. When the film opens with the young son showing colored slides of the emperor's life on a primitive projector, you can feel the romance and the warmth for the rest of the film. When you wake with Napoleon on ship to see a stunning sunrise, you know Alessio Gelsini Torresi is a cinematographer worth watching."
3522,"There are a lot of sight gags and low brow humor in America's Sweethearts, and it is reported to bear a striking resemblance to Singin' In The Rain (although remains far inferior to that classic musical comedy), but it manages to keep the audience entertained if not hanging on every word. The supporting cast is dynamite, Seth Green, Hank Azaria, and Alan Arkin all have memorable and entertaining parts. Just like his role as the flamboyant butler in "" The Birdcage "" he brings out tons of laughs, taking on a phony accent. If you just want to kick back, have some good laughs, without having to kill any brain cells--curl up on the couch with your man or woman and watch "" America's Sweethearts . "" Ultimately, he and Roberts make Sweethearts worth watching--which is saying quite a lot."
3352,"The film wraps up quickly and ties together almost too neatly, but the ending fits the fast paced comic style of everything before it. Well, there were a couple of minor stretches--the catalyzing role of a sexual encounter in finally transforming M. Pignon's personality was one, but wouldn't that be quaintly Gallic? The film is pretty superficial and doesn't really delve into all the ramifications of it's storyline situation, but it does provide some easy laughs and some strong performances throughout. All the pieces fit together so intricately and well and so few liberties were taken of normal human reactions--almost everything was within comfortable bonds of believability."
3582,"The soundtrack is also terrific and the mandolin passages and vocals by the Italian soldiers are marvelous. The cinematography by John Toll (Cinematographer for Braveheart and Legends of the Fall, winning Oscars for both) is splendid. The cinematography of the beautiful exotic locations is breathtaking. It's possible to sing and be happy, have good feelings, to love and to be loved in a War time! Working with Madden, the choices for locations on the Greek island of Kefallonia are superb and the visual images that come from photographing these majestic locations in varying light are lush and beautiful."
3837,"The colors were exquisite, the music and dancing delightful and the people gorgeous. Talented portrayals of deep complex characters who can make you laugh and cry in just minutes. A large family spread all over the world reunites for the big event and all the ties and feelings between siblings, cousins, parents, friends are shown and expressed in a light but touching way. Very refreshing as there are no super stars, no blood, no perfect special effects, no sex. At one point, Lalit and Dubey argue over the wedding tent; should it be white, the modern (Western) way, or should it be colorful?"
3581,"Movies like this are rare, but making a come - back. Another great independent horror film, "" May "", is also suffering from poor reviews by people who don't seem to really understand what they're watching, and react angrily to that. Session 9 is a welcome return to the type of film whose horror relies not on cheap - thrill multi-decibel glissandos, jump - cuts and viscera (although it has its share of that), but on strong interplay between characters, and the gradual realisation that the worst things you can imagine are not "" out there "", but inside your own mind. That said, this is still a disturbing, powerful film with scenes which will stay with you for a long time. While many (including the filmmakers) will find comparisons to Don't Look Now, The Shining, and even a nod to The Changeling, Session 9 still stands on its own as a most effective, brooding experience of dread--and that's a good thing!"
3580,"The clever dialogue (always peppered with underlying angst) is PERFECT for Cillian Murphy's character. Eastenders Vicky still comes to mind - but only as a resemblance of her image. Jonathan's' battle' of wits against the passive Dr. Figure, and whole structure of the institute is very witty, intelligent, and reveals a great deal about both. Rea's subtle style of acting is perfect for the role of Dr. Figure. The characteristic intake of deep breathes in sync with his raised eyebrows, Stephen Rea carries his passive, calm, role and acts very much as a mirror for the cast."
3212,"Get over it is a cute no brainer that has some good one liners, funny musical numbers, and clever direction. This is a likeable musical that not only teens will enjoy. The chemistry between the two leads â€“ Kirsten Dunst and Ben Foster â€“ is very believable and although predictable, the love story is well put - together and generally likeable. Ben Foster is a strong newcomer and Kirsten Dunst once again proves she is the queen of teen movies, although she better lose that angle soon or she'll be up for Prom Queen once more! Berke is Helped and Hindered by his friends along the way leading to some hilarious scenes."
4008,"The performances are neat and unshowy, with Catherine Keener reliable as ever as (another) wayward hard - ass, Mulroney playing the roguish fool and Jake Gyllenhaal practising for the role he plays in The Good Girl. Nicole Holofcener achieved the same effect in Walking & Talking, which had the same' effortless' feel to it, and the always - wonderful Catherine Keener is in both, as well. Nicole Holofcener's small output prevents making any kind of assumption as yet, but in "" Lovely and Amazing "" she displays remarkable ability in dealing with the pain people (mostly female) experience in grappling with the issue of self esteem. Director Nicole Holofcener, who also wrote the script, projects a sense of balance that brings each character's life into sharp and absorbing focus. Holofcener has produced a genuinely lovely film; one that portends amazing things yet to come."
3579,"Isolated by snow - covered mountain tops, ponderosa pines, and upper class wood homes, this is the perfect backdrop for The Deep End. The photography, by Giles Nuttgens, won the coveted Best Cinematography Award at the Sundance Film Festival this year for its unflinching look at images of Lake Tahoe awash in moral tensions. The camera cuts through aquariums, dripping water faucets, bursting water bottles, and of course, across and beneath the lake's surface. Someone might know the truth behind this act of violence, but silence has a very high price tag. McGehee and Siegel adapted their screenplay from the novel ` The Blank Wall,' by Elisabeth Sanxay Holding, and it's a taut thriller, to be sure; but it is so singular of purpose that it decidedly becomes more of a character study that focuses on Margaret, and the effects of that natural bond between mother and son that provides the catalyst for her motivation and the impetus of her actions."
3588,"This is a tremendously entertaining film that shouldn't be viewed as a horror film, but rather, as a tongue - in - cheek western, in the vain of the Spaghetti Westerns. But if you like great b - movies, go see this movie. This is a movie for people who like fun, enjoyable movies - it's simple, unpretentious, full of intentional cliches, and even creepy at times. Sometimes you want a deep film, sometimes you want escapism and a few shocks and thrills. Ghosts of Mars fits the bill perfectly."
4902,"Done in good taste that reflects the boy - scout best of the 50's genre, the movie is unlike anything else that Hollywood or indies are putting out. 10/10 rating Lost Skeleton of Cadavra is a remarkable little film that recreates the look and feel of old low - budget black and white sci fi films, but it has a refreshing spirit all its own that is smart and silly at the same time. Lost Skeleton is fun in its own right because it takes the archetypes of sci fi and its clichÃ©'s and mixes them together to make something that is more entertaining than straight parody. In short, it is an incredibly accurate and funny send - up of 50's drive - in movies. You just need to have the right - minded folks at the keyboard and behind and in front of the camera, and "" Lost Skeleton "" has it."
3797,"This must be one of the greatest movies of all time. The use of body language is tremendous, the light setting perfect, everything well timed and perfectly captured by the camera. This is one of the most perfect movies of all time, and it deserves anything it can get. This German - Expressionist film had such originality in everything from its costumes to its views of a future (modern) city that its ideas can still be seen everywhere in modern sci - fi. Star Wars's C - 3PO was based on Bridgette Helm's robot."
3578,"Besides, Eli loved Planet Of The Apes memorabilia and that's a nice change from the usual cliched obsessions. The performances are nicely turned and Ruccolo is charming in his part, as is Doris Roberts, who ultimately makes the biggest impression even though she is only on - screen for about 15 minutes. It is not as goofy as "" The Opposite of Sex "" (written by this film's Executive Producer, Don Roos), but it has a lot of great laughs. All Over The Guy is a film that breaks the barriers and focuses on issues of intimacy and finding ways to communicate--and it's a big shame it didn't get the major distribution it deserves as it is right on the mark and so much more enjoyable than the endless line of circuit boy romances being released. Good moments from Christina Ricci, and Doris Roberts was perfect (wow, can she cuss too!)"
3577,"As they rob railroad payrolls and bedevil the authorities, Jesse, Frank, and their gang get something besides revenge: they become authentic American legends. Legend and folklore have cast him as a Robin Hood, a good boy forced by circumstances to follow a criminal life. Ali Larter is nice eye candy as Jesse's lady love, but the story really gives her nothing to do, and while Dalton growls impressively behind a grungy - looking beard, he doesn't really get the chance to do anything evil. American Outlaws isn't a bad film, it's not really a great one either but it is worth a look. They must, because whether it be at point blank range with a pistol, or with a Gatling gun during a Civil War battle, they just can seem to want to hurt this guy."
4016,"Director / writer / co-star Yvan Attal is actually married to co-star Charlotte Gainsbourg, an effervescent and shimmering bilingual (French / English) beauty. Stamp brings a bemused actor's attempts at dalliance to life. There are amusing scenes, the best being when Charlotte negotiates with her frenetic director for terms on which to appear naked in a scene. In real life happy endings to episodes of mounting distrust, approaching paranoia, are few. With good art, excellent camera work, and solid performances, this half English, half French flick makes for a nominal subtitled watch best saved for broadcast."
4021,"It's a languid and tempestuous poem of a movie, told in a non-linear way by the extremely ambitious Julio Medem. Medem understands all this very well, and his depiction of it is remarkable. Paz Vega and Tristan Ulloa are stunning as the two leads - Vega with her fierce intelligence and Ulloa with his tormented vulnerability. The three main actors (Paz Vega, TristÃ¡n Ulloa, Najwa Nimri) of the movie are really good and carry the entire movie. The camera - work and colors are really great and create a very unique atmosphere for the movie."
3576,"The characters and backgrounds are allowed to look and move in ways that are downright refreshingly bizarre. It's fun to watch how the pill and blood cell travel to different parts of the body. Granted, not the funniest movie ever by typical "" guffaw standards "", but certainly one of the most clever. this movie is even good for adults. Still, it might be a worthwhile movie, more for kids than adults, but it it watchable for all."
3575,
5800,"In this film you really get an insight into the mind of a paranoid schizophrenic (played brilliantly by Daniel BrÃ¼hl - he deserves every award that he got already or will get in the future), because it is so well researched that it appears 100% authentic (the director studied neurology). At first everything is going fine; they spend their days taking drugs and having fun, but when he abandons his university studies on the first day just because he can't find the enrolment office and when a date with a girl goes a little bit wrong; -) the audience begins to suspect that there's something wrong with Lukas. Katharina SchÃ¼ttler in her small role is as good as always. Director Hans Weingartner makes great usage of Dogma - style camera and avoids all movie clichÃ©s. "" Das weiÃŸe Rauschen "" or "" The White Sound "" is a German 100 - minute movie from 15 years ago and one of the movies that won lead actor Daniel BrÃ¼hl a German Film Award that year."
3565,"Like the previous film, this first of what will undoubtedly be a long line of lucrative sequels combines sardonic humor with eye - popping martial arts action sequences to entertaining effect. The split - second perfection of these scenes, combined with the balletic grace with which they are executed, makes him one of the truly unique talents working in movies today. Rush Hour 2 is a fun, lightweight action film suitable for teens on up. He plays his character like a Chinese Chris Walken and, along with Ziyi Zhang, his beautiful but psychotic partner, provides a nice dramatic balance to the lunatic Tucker and straight - man Chan. Zhang Ziyi is a perfect complement to this couple."
3564,"A fun story - if entirely unoriginal - about an awkward and unpopular 15 year old San Francisco girl (Anne Hathaway) who discovers out of the blue that she is the heir to the throne of the small, fictional European principality of Genovia, and has to deal with all the adjustments that requires."
3563,"Perhaps this apparent smoke screen of an issue caused Angelina Jolie's (often chapped and super-pouty) lips to be sealed regarding her role in the movie. Equally intoxicating were the use of nontraditional cinematography and sound techniques. * out of **** Ah, the erotic thriller, a genre that now mostly exists in the form of straight - to - video or made - for - cable TV releases. But there are always the occasional theatrical releases, such as Basic Instinct (great sex scenes, sporadically interesting story), Bound (steamy sex scenes, good plot, Jennifer Tilly is annoying as hell), Wild Things (dull sex scenes, fun plot twists), and Color of Night (ludicrous story, but features one of the best sex scenes in mainstream cinema!) These twists give some great scenes of power for Banderas and Jolie to work off of, plus a excellent amount of sex and nudity from Jolie and a good feeling for the movie throughout."
